$Date,$Time,SCA201TE401PV
07/30/25,00:00:00,29.9
07/30/25,00:00:03,29.9
07/30/25,00:00:06,29.9
07/30/25,00:00:09,29.9
07/30/25,00:00:12,29.9
07/30/25,00:00:15,29.9
07/30/25,00:00:18,29.9
07/30/25,00:00:21,29.9
07/30/25,00:00:24,29.9
07/30/25,00:00:27,29.9
07/30/25,00:00:30,29.9
07/30/25,00:00:33,29.9
07/30/25,00:00:36,29.9
07/30/25,00:00:39,29.9
07/30/25,00:00:42,29.9
07/30/25,00:00:45,29.9
07/30/25,00:00:48,29.9
07/30/25,00:00:51,29.9
07/30/25,00:00:54,29.9
07/30/25,00:00:57,29.9
07/30/25,00:01:00,29.9
07/30/25,00:01:03,29.9
07/30/25,00:01:06,29.9
07/30/25,00:01:09,29.9
07/30/25,00:01:12,29.9
07/30/25,00:01:15,29.9
07/30/25,00:01:18,29.9
07/30/25,00:01:21,29.9
07/30/25,00:01:24,29.9
07/30/25,00:01:27,29.9
07/30/25,00:01:30,29.9
07/30/25,00:01:33,29.9
07/30/25,00:01:36,29.9
07/30/25,00:01:39,29.9
07/30/25,00:01:42,29.9
07/30/25,00:01:45,29.9
07/30/25,00:01:48,29.9
07/30/25,00:01:51,29.9
07/30/25,00:01:54,29.9
07/30/25,00:01:57,29.9
07/30/25,00:02:00,29.3
07/30/25,00:02:03,29.3
07/30/25,00:02:06,29.3
07/30/25,00:02:09,29.3
07/30/25,00:02:12,29.3
07/30/25,00:02:15,29.3
07/30/25,00:02:18,29.3
07/30/25,00:02:21,29.3
07/30/25,00:02:24,29.3
07/30/25,00:02:27,29.3
07/30/25,00:02:30,29.3
07/30/25,00:02:33,29.3
07/30/25,00:02:36,29.3
07/30/25,00:02:39,29.3
07/30/25,00:02:42,29.3
07/30/25,00:02:45,29.3
07/30/25,00:02:48,29.3
07/30/25,00:02:51,29.3
07/30/25,00:02:54,29.3
07/30/25,00:02:57,29.3
07/30/25,00:03:00,29.3
07/30/25,00:03:03,29.3
07/30/25,00:03:06,29.3
07/30/25,00:03:09,29.3
07/30/25,00:03:12,29.3
07/30/25,00:03:15,29.3
07/30/25,00:03:18,29.3
07/30/25,00:03:21,29.8
07/30/25,00:03:24,29.8
07/30/25,00:03:27,29.8
07/30/25,00:03:30,29.8
07/30/25,00:03:33,29.8
07/30/25,00:03:36,29.8
07/30/25,00:03:39,30.3
07/30/25,00:03:42,30.3
07/30/25,00:03:45,30.3
07/30/25,00:03:48,30.3
07/30/25,00:03:51,30.3
07/30/25,00:03:54,30.3
07/30/25,00:03:57,30.3
07/30/25,00:04:00,30.3
07/30/25,00:04:03,30.3
07/30/25,00:04:06,30.3
07/30/25,00:04:09,30.8
07/30/25,00:04:12,30.8
07/30/25,00:04:15,30.8
07/30/25,00:04:18,30.8
07/30/25,00:04:21,30.8
07/30/25,00:04:24,30.8
07/30/25,00:04:27,30.8
07/30/25,00:04:30,30.8
07/30/25,00:04:33,30.8
07/30/25,00:04:36,30.8
07/30/25,00:04:39,30.8
07/30/25,00:04:42,30.8
07/30/25,00:04:45,30.8
07/30/25,00:04:48,31
07/30/25,00:04:51,31
07/30/25,00:04:54,31
07/30/25,00:04:57,31
07/30/25,00:05:00,31
07/30/25,00:05:03,31
07/30/25,00:05:06,31
07/30/25,00:05:09,31
07/30/25,00:05:12,31
07/30/25,00:05:15,31
07/30/25,00:05:18,31
07/30/25,00:05:21,31
07/30/25,00:05:24,31
07/30/25,00:05:27,31
07/30/25,00:05:30,31
07/30/25,00:05:33,31
07/30/25,00:05:36,31
07/30/25,00:05:39,31
07/30/25,00:05:42,31
07/30/25,00:05:45,31
07/30/25,00:05:48,31
07/30/25,00:05:51,31
07/30/25,00:05:54,31
07/30/25,00:05:57,31
07/30/25,00:06:00,31
07/30/25,00:06:03,31
07/30/25,00:06:06,31
07/30/25,00:06:09,31
07/30/25,00:06:12,31
07/30/25,00:06:15,31
07/30/25,00:06:18,31
07/30/25,00:06:21,31
07/30/25,00:06:24,31
07/30/25,00:06:27,31
07/30/25,00:06:30,31
07/30/25,00:06:33,31
07/30/25,00:06:36,31
07/30/25,00:06:39,31
07/30/25,00:06:42,31
07/30/25,00:06:45,31
07/30/25,00:06:48,31
07/30/25,00:06:51,31
07/30/25,00:06:54,31
07/30/25,00:06:57,31
07/30/25,00:07:00,31
07/30/25,00:07:03,31
07/30/25,00:07:06,31
07/30/25,00:07:09,31
07/30/25,00:07:12,31
07/30/25,00:07:15,31
07/30/25,00:07:18,31
07/30/25,00:07:21,31
07/30/25,00:07:24,31
07/30/25,00:07:27,31
07/30/25,00:07:30,31
07/30/25,00:07:33,31
07/30/25,00:07:36,31
07/30/25,00:07:39,31
07/30/25,00:07:42,31
07/30/25,00:07:45,31
07/30/25,00:07:48,31
07/30/25,00:07:51,31
07/30/25,00:07:54,31
07/30/25,00:07:57,31
07/30/25,00:08:00,31
07/30/25,00:08:03,31
07/30/25,00:08:06,31
07/30/25,00:08:09,31
07/30/25,00:08:12,31
07/30/25,00:08:15,31
07/30/25,00:08:18,31
07/30/25,00:08:21,31
07/30/25,00:08:24,31
07/30/25,00:08:27,31
07/30/25,00:08:30,31
07/30/25,00:08:33,31
07/30/25,00:08:36,31
07/30/25,00:08:39,31
07/30/25,00:08:42,31
07/30/25,00:08:45,31
07/30/25,00:08:48,31
07/30/25,00:08:51,31
07/30/25,00:08:54,31
07/30/25,00:08:57,31
07/30/25,00:09:00,31
07/30/25,00:09:03,31
07/30/25,00:09:06,31
07/30/25,00:09:09,31
07/30/25,00:09:12,31
07/30/25,00:09:15,31
07/30/25,00:09:18,31
07/30/25,00:09:21,31
07/30/25,00:09:24,31
07/30/25,00:09:27,31
07/30/25,00:09:30,31
07/30/25,00:09:33,31
07/30/25,00:09:36,31
07/30/25,00:09:39,31
07/30/25,00:09:42,31
07/30/25,00:09:45,31
07/30/25,00:09:48,31
07/30/25,00:09:51,31
07/30/25,00:09:54,31
07/30/25,00:09:57,31
07/30/25,00:10:00,31
07/30/25,00:10:03,31
07/30/25,00:10:06,31
07/30/25,00:10:09,31
07/30/25,00:10:12,31
07/30/25,00:10:15,31
07/30/25,00:10:18,31
07/30/25,00:10:21,31
07/30/25,00:10:24,31
07/30/25,00:10:27,31
07/30/25,00:10:30,31
07/30/25,00:10:33,31
07/30/25,00:10:36,31
07/30/25,00:10:39,31
07/30/25,00:10:42,31
07/30/25,00:10:45,31
07/30/25,00:10:48,31
07/30/25,00:10:51,31
07/30/25,00:10:54,31
07/30/25,00:10:57,31
07/30/25,00:11:00,31
07/30/25,00:11:03,31
07/30/25,00:11:06,31
07/30/25,00:11:09,31
07/30/25,00:11:12,31
07/30/25,00:11:15,31
07/30/25,00:11:18,31
07/30/25,00:11:21,31
07/30/25,00:11:24,31
07/30/25,00:11:27,31
07/30/25,00:11:30,31
07/30/25,00:11:33,31
07/30/25,00:11:36,31
07/30/25,00:11:39,31
07/30/25,00:11:42,31
07/30/25,00:11:45,31
07/30/25,00:11:48,31
07/30/25,00:11:51,31
07/30/25,00:11:54,31
07/30/25,00:11:57,31
07/30/25,00:12:00,31
07/30/25,00:12:03,31
07/30/25,00:12:06,31
07/30/25,00:12:09,31
07/30/25,00:12:12,31
07/30/25,00:12:15,31
07/30/25,00:12:18,31
07/30/25,00:12:21,31
07/30/25,00:12:24,31
07/30/25,00:12:27,31
07/30/25,00:12:30,31
07/30/25,00:12:33,31
07/30/25,00:12:36,31
07/30/25,00:12:39,31
07/30/25,00:12:42,31
07/30/25,00:12:45,31
07/30/25,00:12:48,31
07/30/25,00:12:51,31
07/30/25,00:12:54,31
07/30/25,00:12:57,31
07/30/25,00:13:00,31
07/30/25,00:13:03,31
07/30/25,00:13:06,31
07/30/25,00:13:09,31
07/30/25,00:13:12,31
07/30/25,00:13:15,31
07/30/25,00:13:18,31
07/30/25,00:13:21,31
07/30/25,00:13:24,31
07/30/25,00:13:27,31
07/30/25,00:13:30,31
07/30/25,00:13:33,31
07/30/25,00:13:36,31
07/30/25,00:13:39,31
07/30/25,00:13:42,31
07/30/25,00:13:45,31
07/30/25,00:13:48,31
07/30/25,00:13:51,31
07/30/25,00:13:54,31
07/30/25,00:13:57,31
07/30/25,00:14:00,31
07/30/25,00:14:03,31
07/30/25,00:14:06,31
07/30/25,00:14:09,31
07/30/25,00:14:12,31
07/30/25,00:14:15,31
07/30/25,00:14:18,31
07/30/25,00:14:21,31
07/30/25,00:14:24,31
07/30/25,00:14:27,31
07/30/25,00:14:30,31
07/30/25,00:14:33,31
07/30/25,00:14:36,31
07/30/25,00:14:39,31
07/30/25,00:14:42,31
07/30/25,00:14:45,31
07/30/25,00:14:48,31.1
07/30/25,00:14:51,31.1
07/30/25,00:14:54,31.1
07/30/25,00:14:57,31.1
07/30/25,00:15:00,31.1
07/30/25,00:15:03,31.1
07/30/25,00:15:06,31.1
07/30/25,00:15:09,31.1
07/30/25,00:15:12,31.1
07/30/25,00:15:15,31.1
07/30/25,00:15:18,31.1
07/30/25,00:15:21,31.1
07/30/25,00:15:24,31.1
07/30/25,00:15:27,31.1
07/30/25,00:15:30,31.1
07/30/25,00:15:33,31.1
07/30/25,00:15:36,31.1
07/30/25,00:15:39,31.1
07/30/25,00:15:42,31.1
07/30/25,00:15:45,31.1
07/30/25,00:15:48,31.1
07/30/25,00:15:51,31.1
07/30/25,00:15:54,31.1
07/30/25,00:15:57,31.1
07/30/25,00:16:00,31.1
07/30/25,00:16:03,31.1
07/30/25,00:16:06,31.1
07/30/25,00:16:09,31.1
07/30/25,00:16:12,31.1
07/30/25,00:16:15,31.1
07/30/25,00:16:18,31.1
07/30/25,00:16:21,31.1
07/30/25,00:16:24,31.1
07/30/25,00:16:27,31.1
07/30/25,00:16:30,31.1
07/30/25,00:16:33,31.1
07/30/25,00:16:36,31.1
07/30/25,00:16:39,31.1
07/30/25,00:16:42,31.1
07/30/25,00:16:45,31.1
07/30/25,00:16:48,31.1
07/30/25,00:16:51,31.1
07/30/25,00:16:54,31.1
07/30/25,00:16:57,31.1
07/30/25,00:17:00,31.1
07/30/25,00:17:03,31.1
07/30/25,00:17:06,31.1
07/30/25,00:17:09,31.1
07/30/25,00:17:12,31.1
07/30/25,00:17:15,31.1
07/30/25,00:17:18,31.1
07/30/25,00:17:21,31.1
07/30/25,00:17:24,31.1
07/30/25,00:17:27,31.1
07/30/25,00:17:30,31.1
07/30/25,00:17:33,31.1
07/30/25,00:17:36,31.1
07/30/25,00:17:39,31.1
07/30/25,00:17:42,31.1
07/30/25,00:17:45,31.1
07/30/25,00:17:48,31.1
07/30/25,00:17:51,31.1
07/30/25,00:17:54,31.1
07/30/25,00:17:57,31.1
07/30/25,00:18:00,31.1
07/30/25,00:18:03,31.1
07/30/25,00:18:06,31.1
07/30/25,00:18:09,31.1
07/30/25,00:18:12,31.1
07/30/25,00:18:15,31.1
07/30/25,00:18:18,31.1
07/30/25,00:18:21,31.1
07/30/25,00:18:24,31.1
07/30/25,00:18:27,31.1
07/30/25,00:18:30,31.1
07/30/25,00:18:33,31.1
07/30/25,00:18:36,31.1
07/30/25,00:18:39,31.1
07/30/25,00:18:42,31.1
07/30/25,00:18:45,31.1
07/30/25,00:18:48,31.1
07/30/25,00:18:51,31.1
07/30/25,00:18:54,31.1
07/30/25,00:18:57,31.1
07/30/25,00:19:00,31.1
07/30/25,00:19:03,31.1
07/30/25,00:19:06,31.1
07/30/25,00:19:09,31.1
07/30/25,00:19:12,31.1
07/30/25,00:19:15,31.1
07/30/25,00:19:18,31.1
07/30/25,00:19:21,31.1
07/30/25,00:19:24,31.1
07/30/25,00:19:27,31.1
07/30/25,00:19:30,31.1
07/30/25,00:19:33,31.1
07/30/25,00:19:36,31.1
07/30/25,00:19:39,31.1
07/30/25,00:19:42,31.1
07/30/25,00:19:45,31.1
07/30/25,00:19:48,31.1
07/30/25,00:19:51,31.1
07/30/25,00:19:54,31.1
07/30/25,00:19:57,31.1
07/30/25,00:20:00,31.1
07/30/25,00:20:03,31.1
07/30/25,00:20:06,31.1
07/30/25,00:20:09,31.1
07/30/25,00:20:12,31.1
07/30/25,00:20:15,31.1
07/30/25,00:20:18,31.1
07/30/25,00:20:21,31.1
07/30/25,00:20:24,31.1
07/30/25,00:20:27,31.1
07/30/25,00:20:30,31.1
07/30/25,00:20:33,31.1
07/30/25,00:20:36,31.1
07/30/25,00:20:39,31.1
07/30/25,00:20:42,31.1
07/30/25,00:20:45,31.1
07/30/25,00:20:48,31.1
07/30/25,00:20:51,31.1
07/30/25,00:20:54,31.1
07/30/25,00:20:57,31.1
07/30/25,00:21:00,31.1
07/30/25,00:21:03,31.1
07/30/25,00:21:06,31.1
07/30/25,00:21:09,31.1
07/30/25,00:21:12,31.1
07/30/25,00:21:15,31.1
07/30/25,00:21:18,31.1
07/30/25,00:21:21,31.1
07/30/25,00:21:24,31.1
07/30/25,00:21:27,31.1
07/30/25,00:21:30,31.1
07/30/25,00:21:33,31.1
07/30/25,00:21:36,31.1
07/30/25,00:21:39,31.1
07/30/25,00:21:42,31.1
07/30/25,00:21:45,31.1
07/30/25,00:21:48,31.1
07/30/25,00:21:51,31.1
07/30/25,00:21:54,31.1
07/30/25,00:21:57,31.1
07/30/25,00:22:00,31.1
07/30/25,00:22:03,31.1
07/30/25,00:22:06,31.1
07/30/25,00:22:09,31.1
07/30/25,00:22:12,31.1
07/30/25,00:22:15,31.1
07/30/25,00:22:18,31.1
07/30/25,00:22:21,31.1
07/30/25,00:22:24,31.1
07/30/25,00:22:27,31.1
07/30/25,00:22:30,31.1
07/30/25,00:22:33,31.1
07/30/25,00:22:36,31.1
07/30/25,00:22:39,31.1
07/30/25,00:22:42,31.1
07/30/25,00:22:45,31.1
07/30/25,00:22:48,31.1
07/30/25,00:22:51,31.1
07/30/25,00:22:54,31.1
07/30/25,00:22:57,31.1
07/30/25,00:23:00,31.1
07/30/25,00:23:03,31.1
07/30/25,00:23:06,31.1
07/30/25,00:23:09,31.1
07/30/25,00:23:12,31.1
07/30/25,00:23:15,31.1
07/30/25,00:23:18,31.1
07/30/25,00:23:21,31.1
07/30/25,00:23:24,31.1
07/30/25,00:23:27,31.1
07/30/25,00:23:30,31.1
07/30/25,00:23:33,31.1
07/30/25,00:23:36,31.1
07/30/25,00:23:39,31.1
07/30/25,00:23:42,31.1
07/30/25,00:23:45,31.1
07/30/25,00:23:48,31.1
07/30/25,00:23:51,31.1
07/30/25,00:23:54,31.1
07/30/25,00:23:57,31.1
07/30/25,00:24:00,31.1
07/30/25,00:24:03,31.1
07/30/25,00:24:06,31.1
07/30/25,00:24:09,31.1
07/30/25,00:24:12,31.1
07/30/25,00:24:15,31.1
07/30/25,00:24:18,31.1
07/30/25,00:24:21,31.1
07/30/25,00:24:24,31.1
07/30/25,00:24:27,31.1
07/30/25,00:24:30,31.1
07/30/25,00:24:33,31.1
07/30/25,00:24:36,31.1
07/30/25,00:24:39,31.1
07/30/25,00:24:42,31.1
07/30/25,00:24:45,31.1
07/30/25,00:24:48,31.2
07/30/25,00:24:51,31.2
07/30/25,00:24:54,31.2
07/30/25,00:24:57,31.2
07/30/25,00:25:00,31.2
07/30/25,00:25:03,31.2
07/30/25,00:25:06,31.2
07/30/25,00:25:09,31.2
07/30/25,00:25:12,31.2
07/30/25,00:25:15,31.2
07/30/25,00:25:18,31.2
07/30/25,00:25:21,31.2
07/30/25,00:25:24,31.2
07/30/25,00:25:27,31.2
07/30/25,00:25:30,31.2
07/30/25,00:25:33,31.2
07/30/25,00:25:36,31.2
07/30/25,00:25:39,31.2
07/30/25,00:25:42,31.2
07/30/25,00:25:45,31.2
07/30/25,00:25:48,31.2
07/30/25,00:25:51,31.2
07/30/25,00:25:54,31.2
07/30/25,00:25:57,31.2
07/30/25,00:26:00,31.2
07/30/25,00:26:03,31.2
07/30/25,00:26:06,31.2
07/30/25,00:26:09,31.2
07/30/25,00:26:12,31.2
07/30/25,00:26:15,31.2
07/30/25,00:26:18,31.2
07/30/25,00:26:21,31.2
07/30/25,00:26:24,31.2
07/30/25,00:26:27,31.2
07/30/25,00:26:30,31.2
07/30/25,00:26:33,31.2
07/30/25,00:26:36,31.2
07/30/25,00:26:39,31.2
07/30/25,00:26:42,31.2
07/30/25,00:26:45,31.2
07/30/25,00:26:48,31.2
07/30/25,00:26:51,31.2
07/30/25,00:26:54,31.2
07/30/25,00:26:57,31.2
07/30/25,00:27:00,31.2
07/30/25,00:27:03,31.2
07/30/25,00:27:06,31.2
07/30/25,00:27:09,31.2
07/30/25,00:27:12,31.2
07/30/25,00:27:15,31.2
07/30/25,00:27:18,31.2
07/30/25,00:27:21,31.2
07/30/25,00:27:24,31.2
07/30/25,00:27:27,31.2
07/30/25,00:27:30,31.2
07/30/25,00:27:33,31.2
07/30/25,00:27:36,31.2
07/30/25,00:27:39,31.2
07/30/25,00:27:42,31.2
07/30/25,00:27:45,31.2
07/30/25,00:27:48,31.2
07/30/25,00:27:51,31.2
